   t                 theta (Euler)              theta (Euler-Cromer)
 35.10            -0.45556824105E+00            -0.71760067456E-01
 35.20            -0.43488530612E+00            -0.66422510265E-01
 35.30            -0.40964668878E+00            -0.60420727970E-01
 35.40            -0.38005921838E+00            -0.53814738396E-01
 35.50            -0.34637528108E+00            -0.46670601438E-01
 35.60            -0.30889075161E+00            -0.39059758466E-01
 35.70            -0.26794246932E+00            -0.31058317909E-01
 35.80            -0.22390527952E+00            -0.22746294173E-01
 35.90            -0.17718866503E+00            -0.14206807495E-01
 36.00            -0.12823299774E+00            -0.55252527419E-02
 36.10            -0.77505443797E-01             0.32115545383E-02
 36.20            -0.25495559879E-01             0.11916246273E-01
 36.30             0.27289378477E-01             0.20501775545E-01
 36.40             0.80329272431E-01             0.28882287062E-01
 36.50             0.13309627260E+00             0.36973975708E-01
 36.60             0.18505998005E+00             0.44695924597E-01
 36.70             0.23569272477E+00             0.51970914240E-01
 36.80             0.28447486969E+00             0.58726194741E-01
 36.90             0.33090008736E+00             0.64894213294E-01
 37.00             0.37448055633E+00             0.70413289714E-01
 37.10             0.41475202443E+00             0.75228233237E-01
 37.20             0.45127868697E+00             0.79290894428E-01
 37.30             0.48365782926E+00             0.82560646674E-01
 37.40             0.51152418469E+00             0.85004792454E-01
 37.50             0.53455396182E+00             0.86598890309E-01
 37.60             0.55246849710E+00             0.87326999261E-01
 37.70             0.56503749277E+00             0.87181838221E-01
 37.80             0.57208180346E+00             0.86164858798E-01
 37.90             0.57347573923E+00             0.84286230787E-01
 38.00             0.56914885696E+00             0.81564740469E-01
 38.10             0.55908721730E+00             0.78027602745E-01
 38.20             0.54333408907E+00             0.73710188995E-01
 38.30             0.52199008867E+00             0.68655673354E-01
 38.40             0.49521274738E+00             0.62914600980E-01
 38.50             0.46321550520E+00             0.56544382596E-01
 38.60             0.42626613555E+00             0.49608720386E-01
 38.70             0.38468461084E+00             0.42176970972E-01
 38.80             0.33884042478E+00             0.34323451848E-01
 38.90             0.28914939261E+00             0.26126698206E-01
 39.00             0.23606995619E+00             0.17668677582E-01
 39.10             0.18009902585E+00             0.90339701824E-02
 39.20             0.12176739594E+00             0.30892308066E-03
 39.30             0.61634775780E-01            -0.84192132519E-02
 39.40             0.28448165658E-03            -0.17063157452E-01
 39.50            -0.61682160224E-01            -0.25536470077E-01
 39.60            -0.12365164692E+00            -0.33754418002E-01
 39.70            -0.18500431202E+00            -0.41634821747E-01
 39.80            -0.24512046064E+00            -0.49098877274E-01
 39.90            -0.30338656615E+00            -0.56071944029E-01
 40.00            -0.35920146705E+00            -0.62484291343E-01
 40.10            -0.41198250229E+00            -0.68271795744E-01
 40.20            -0.46117152285E+00            -0.73376582187E-01
 40.30            -0.50624071840E+00            -0.77747602809E-01
 40.40            -0.54669819871E+00            -0.81341147402E-01
 40.50            -0.58209327185E+00            -0.84121280521E-01
 40.60            -0.61202136299E+00            -0.86060200835E-01
 40.70            -0.63612852142E+00            -0.87138519141E-01
 40.80            -0.65411546621E+00            -0.87345452256E-01
 40.90            -0.66574112580E+00            -0.86678930848E-01
 41.00            -0.67082563072E+00            -0.85145620131E-01
 41.10            -0.66925272438E+00            -0.82760853213E-01
 41.20            -0.66097156173E+00            -0.79548477763E-01
 41.30            -0.64599787185E+00            -0.75540617535E-01
 41.40            -0.62441446634E+00            -0.70777351132E-01
 41.50            -0.59637108212E+00            -0.65306311218E-01
 41.60            -0.56208355323E+00            -0.59182208191E-01
 41.70            -0.52183231352E+00            -0.52466283083E-01
 41.80            -0.47596023828E+00            -0.45225695143E-01
 41.90            -0.42486983990E+00            -0.37532850253E-01
 42.00            -0.36901983914E+00            -0.29464676859E-01
 42.10            -0.30892113998E+00            -0.21101856698E-01
 42.20            -0.24513224243E+00            -0.12528017969E-01
 42.30            -0.17825413348E+00            -0.38288990603E-02
 42.40            -0.10892470211E+00             0.49085088388E-02
 42.50            -0.37812729401E-01             0.13596831650E-01
 42.60             0.34388490329E-01             0.22149186144E-01
 42.70             0.10696783735E+00             0.30480048777E-01
 42.80             0.17920329947E+00             0.38506110922E-01
 42.90             0.25036908322E+00             0.46147111957E-01
 43.00             0.31974283397E+00             0.53326641874E-01
 43.10             0.38661289389E+00             0.59972905371E-01
 43.20             0.45028552547E+00             0.66019439815E-01
 43.30             0.51009202811E+00             0.71405779861E-01
 43.40             0.56539567550E+00             0.76078062108E-01
 43.50             0.61559840261E+00             0.79989563734E-01
 43.60             0.66014717296E+00             0.83101169722E-01
 43.70             0.69853995928E+00             0.85381764014E-01
 43.80             0.73033127388E+00             0.86808540665E-01
 43.90             0.75513718888E+00             0.87367231909E-01
 44.00             0.77263979114E+00             0.87052250835E-01
