   t         Omega F_0 0       Omega F_0 0.5       Omega F_0 1.2
 50.28   0.33622979342E-05   0.45284886276E-01   0.37081558086E-01
 50.31   0.33387517919E-05   0.34624863424E-01   0.38199260892E-01
 50.34   0.33125539652E-05   0.23944245530E-01   0.38924766767E-01
 50.37   0.32837678073E-05   0.13244580266E-01   0.39252071516E-01
 50.40   0.32524580508E-05   0.25274536184E-02   0.39175326843E-01
 50.43   0.32186907283E-05  -0.82055026324E-02   0.38688839781E-01
 50.46   0.31825330941E-05  -0.18952603538E-01   0.37787072051E-01
 50.49   0.31440535446E-05  -0.29712103746E-01   0.36464639417E-01
 50.52   0.31033215401E-05  -0.40482190407E-01   0.34716311057E-01
 50.55   0.30604075263E-05  -0.51260976263E-01   0.32537009010E-01
 50.58   0.30153828559E-05  -0.62046492907E-01   0.29921807744E-01
 50.61   0.29683197110E-05  -0.72836684265E-01   0.26865933889E-01
 50.64   0.29192910256E-05  -0.83629400289E-01   0.23364766188E-01
 50.67   0.28683704085E-05  -0.94422390903E-01   0.19413835714E-01
 50.70   0.28156320673E-05  -0.10521330021E+00   0.15008826407E-01
 50.73   0.27611507324E-05  -0.11599966096E+00   0.10145575975E-01
 50.76   0.27050015818E-05  -0.12677888937E+00   0.48200772260E-02
 50.79   0.26472601670E-05  -0.13754828020E+00  -0.97152012918E-03
 50.82   0.25880023394E-05  -0.14830500223E+00  -0.72329071406E-02
 50.85   0.25273041770E-05  -0.15904609404E+00  -0.13967612697E-01
 50.88   0.24652419133E-05  -0.16976846019E+00  -0.21178999958E-01
 50.91   0.24018918659E-05  -0.18046886785E+00  -0.28870262092E-01
 50.94   0.23373303664E-05  -0.19114394376E+00  -0.37044417250E-01
 50.97   0.22716336922E-05  -0.20179017169E+00  -0.45704302725E-01
 51.00   0.22048779977E-05  -0.21240389035E+00  -0.54852568240E-01
 51.03   0.21371392485E-05  -0.22298129174E+00  -0.64491668297E-01
 51.06   0.20684931551E-05  -0.23351842005E+00  -0.74623853530E-01
 51.09   0.19990151094E-05  -0.24401117107E+00  -0.85251161007E-01
 51.12   0.19287801207E-05  -0.25445529204E+00  -0.96375403410E-01
 51.15   0.18578627547E-05  -0.26484638220E+00  -0.10799815704E+00
 51.18   0.17863370728E-05  -0.27517989380E+00  -0.12012074857E+00
 51.21   0.17142765727E-05  -0.28545113373E+00  -0.13274424055E+00
 51.24   0.16417541312E-05  -0.29565526570E+00  -0.14586941544E+00
 51.27   0.15688419476E-05  -0.30578731314E+00  -0.15949675837E+00
 51.30   0.14956114890E-05  -0.31584216260E+00  -0.17362643828E+00
 51.33   0.14221334369E-05  -0.32581456782E+00  -0.18825828763E+00
 51.36   0.13484776355E-05  -0.33569915452E+00  -0.20339178047E+00
 51.39   0.12747130413E-05  -0.34549042567E+00  -0.21902600886E+00
 51.42   0.12009076743E-05  -0.35518276758E+00  -0.23515965767E+00
 51.45   0.11271285708E-05  -0.36477045655E+00  -0.25179097754E+00
 51.48   0.10534417382E-05  -0.37424766612E+00  -0.26891775617E+00
 51.51   0.97991211054E-06  -0.38360847514E+00  -0.28653728780E+00
 51.54   0.90660350637E-06  -0.39284687626E+00  -0.30464634080E+00
 51.57   0.83357858811E-06  -0.40195678523E+00  -0.32324112354E+00
 51.60   0.76089882289E-06  -0.41093205068E+00  -0.34231724833E+00
 51.63   0.68862444521E-06  -0.41976646459E+00  -0.36186969364E+00
 51.66   0.61681442120E-06  -0.42845377333E+00  -0.38189276444E+00
 51.69   0.54552641456E-06  -0.43698768915E+00  -0.40238005091E+00
 51.72   0.47481675426E-06  -0.44536190234E+00  -0.42332438542E+00
 51.75   0.40474040377E-06  -0.45357009381E+00  -0.44471779790E+00
 51.78   0.33535093219E-06  -0.46160594810E+00  -0.46655146986E+00
 51.81   0.26670048683E-06  -0.46946316688E+00  -0.48881568699E+00
 51.84   0.19883976772E-06  -0.47713548279E+00  -0.51149979072E+00
 51.87   0.13181800361E-06  -0.48461667362E+00  -0.53459212876E+00
 51.90   0.65682929750E-07  -0.49190057675E+00  -0.55808000506E+00
 51.93   0.48076736472E-09  -0.49898110385E+00  -0.58194962937E+00
 51.96  -0.63743795276E-07  -0.50585225576E+00  -0.60618606671E+00
 51.99  -0.12694762006E-06  -0.51250813744E+00  -0.63077318729E+00
 52.02  -0.18908913462E-06  -0.51894297298E+00  -0.65569361714E+00
 52.05  -0.25012834623E-06  -0.52515112066E+00  -0.68092869001E+00
 52.08  -0.31002685416E-06  -0.53112708785E+00  -0.70645840118E+00
 52.11  -0.36874786030E-06  -0.53686554577E+00  -0.73226136360E+00
 52.14  -0.42625617828E-06  -0.54236134412E+00  -0.75831476716E+00
 52.17  -0.48251824093E-06  -0.54760952532E+00  -0.78459434178E+00
 52.20  -0.53750210622E-06  -0.55260533843E+00  -0.81107432501E+00
 52.23  -0.59117746163E-06  -0.55734425267E+00  -0.83772743509E+00
 52.26  -0.64351562700E-06  -0.56182197041E+00  -0.86452485025E+00
 52.29  -0.69448955582E-06  -0.56603443962E+00  -0.89143619520E+00
 52.32  -0.74407383511E-06  -0.56997786561E+00  -0.91842953581E+00
 52.35  -0.79224468376E-06  -0.57364872225E+00  -0.94547138283E+00
 52.38  -0.83897994946E-06  -0.57704376220E+00  -0.97252670579E+00
 52.41  -0.88425910423E-06  -0.58016002652E+00  -0.99955895801E+00
 52.44  -0.92806323848E-06  -0.58299485331E+00  -0.10265301137E+01
 52.47  -0.97037505380E-06  -0.58554588544E+00  -0.10534007182E+01
 52.50  -0.10111788543E-05  -0.58781107734E+00  -0.10801299518E+01
 52.53  -0.10504605369E-05  -0.58978870076E+00  -0.11066757091E+01
 52.56  -0.10882075797E-05  -0.59147734948E+00  -0.11329946928E+01
 52.59  -0.11244090301E-05  -0.59287594301E+00  -0.11590425247E+01
 52.62  -0.11590554906E-05  -0.59398372908E+00  -0.11847738726E+01
 52.65  -0.11921391043E-05  -0.59480028514E+00  -0.12101425939E+01
 52.68  -0.12236535385E-05  -0.59532551867E+00  -0.12351018968E+01
 52.71  -0.12535939681E-05  -0.59555966638E+00  -0.12596045176E+01
 52.74  -0.12819570566E-05  -0.59550329229E+00  -0.12836029149E+01
 52.77  -0.13087409375E-05  -0.59515728470E+00  -0.13070494788E+01
 52.80  -0.13339451933E-05  -0.59452285207E+00  -0.13298967556E+01
 52.83  -0.13575708346E-05  -0.59360151779E+00  -0.13520976858E+01
 52.86  -0.13796202775E-05  -0.59239511397E+00  -0.13736058531E+01
 52.89  -0.14000973205E-05  -0.59090577418E+00  -0.13943757454E+01
 52.92  -0.14190071203E-05  -0.58913592523E+00  -0.14143630212E+01
 52.95  -0.14363561667E-05  -0.58708827801E+00  -0.14335247840E+01
 52.98  -0.14521522568E-05  -0.58476581751E+00  -0.14518198571E+01
 53.01  -0.14664044686E-05  -0.58217179198E+00  -0.14692090600E+01
 53.04  -0.14791231331E-05  -0.57930970138E+00  -0.14856554806E+01
 53.07  -0.14903198069E-05  -0.57618328508E+00  -0.15011247409E+01
 53.10  -0.15000072427E-05  -0.57279650898E+00  -0.15155852527E+01
 53.13  -0.15081993605E-05  -0.56915355211E+00  -0.15290084607E+01
 53.16  -0.15149112171E-05  -0.56525879264E+00  -0.15413690680E+01
 53.19  -0.15201589758E-05  -0.56111679362E+00  -0.15526452423E+01
 53.22  -0.15239598750E-05  -0.55673228825E+00  -0.15628187996E+01
 53.25  -0.15263321968E-05  -0.55211016500E+00  -0.15718753612E+01
 53.28  -0.15272952348E-05  -0.54725545247E+00  -0.15798044836E+01
 53.31  -0.15268692615E-05  -0.54217330415E+00  -0.15865997577E+01
 53.34  -0.15250754955E-05  -0.53686898318E+00  -0.15922588760E+01
 53.37  -0.15219360680E-05  -0.53134784711E+00  -0.15967836670E+01
 53.40  -0.15174739895E-05  -0.52561533270E+00  -0.16001800949E+01
 53.43  -0.15117131156E-05  -0.51967694100E+00  -0.16024582267E+01
 53.46  -0.15046781130E-05  -0.51353822256E+00  -0.16036321638E+01
 53.49  -0.14963944251E-05  -0.50720476296E+00  -0.16037199419E+01
 53.52  -0.14868882375E-05  -0.50068216870E+00  -0.16027433991E+01
 53.55  -0.14761864434E-05  -0.49397605345E+00  -0.16007280132E+01
 53.58  -0.14643166084E-05  -0.48709202476E+00  -0.15977027133E+01
 53.61  -0.14513069359E-05  -0.48003567128E+00  -0.15936996645E+01
 53.64  -0.14371862323E-05  -0.47281255048E+00  -0.15887540320E+01
 53.67  -0.14219838716E-05  -0.46542817694E+00  -0.15829037257E+01
 53.70  -0.14057297609E-05  -0.45788801127E+00  -0.15761891294E+01
 53.73  -0.13884543050E-05  -0.45019744961E+00  -0.15686528180E+01
 53.76  -0.13701883721E-05  -0.44236181386E+00  -0.15603392669E+01
 53.79  -0.13509632587E-05  -0.43438634248E+00  -0.15512945552E+01
 53.82  -0.13308106550E-05  -0.42627618206E+00  -0.15415660685E+01
 53.85  -0.13097626108E-05  -0.41803637956E+00  -0.15312022029E+01
 53.88  -0.12878515009E-05  -0.40967187525E+00  -0.15202520736E+01
 53.91  -0.12651099913E-05  -0.40118749642E+00  -0.15087652321E+01
 53.94  -0.12415710053E-05  -0.39258795169E+00  -0.14967913922E+01
 53.97  -0.12172676903E-05  -0.38387782618E+00  -0.14843801695E+01
 54.00  -0.11922333840E-05  -0.37506157727E+00  -0.14715808350E+01
 54.03  -0.11665015823E-05  -0.36614353110E+00  -0.14584420845E+01
 54.06  -0.11401059062E-05  -0.35712787982E+00  -0.14450118252E+01
 54.09  -0.11130800699E-05  -0.34801867941E+00  -0.14313369812E+01
 54.12  -0.10854578491E-05  -0.33881984823E+00  -0.14174633169E+01
 54.15  -0.10572730496E-05  -0.32953516621E+00  -0.14034352806E+01
 54.18  -0.10285594763E-05  -0.32016827469E+00  -0.13892958662E+01
 54.21  -0.99935090303E-06  -0.31072267677E+00  -0.13750864956E+01
 54.24  -0.96968104258E-06  -0.30120173840E+00  -0.13608469181E+01
 54.27  -0.93958351710E-06  -0.29160868987E+00  -0.13466151297E+01
 54.30  -0.90909182934E-06  -0.28194662799E+00  -0.13324273082E+01
 54.33  -0.87823933425E-06  -0.27221851865E+00  -0.13183177660E+01
 54.36  -0.84705921118E-06  -0.26242720001E+00  -0.13043189180E+01
 54.39  -0.81558443667E-06  -0.25257538600E+00  -0.12904612636E+01
 54.42  -0.78384775779E-06  -0.24266567043E+00  -0.12767733829E+01
 54.45  -0.75188166610E-06  -0.23270053136E+00  -0.12632819441E+01
 54.48  -0.71971837230E-06  -0.22268233596E+00  -0.12500117227E+01
 54.51  -0.68738978136E-06  -0.21261334572E+00  -0.12369856298E+01
 54.54  -0.65492746848E-06  -0.20249572192E+00  -0.12242247497E+01
 54.57  -0.62236265558E-06  -0.19233153155E+00  -0.12117483843E+01
 54.60  -0.58972618848E-06  -0.18212275336E+00  -0.11995741048E+01
 54.63  -0.55704851481E-06  -0.17187128433E+00  -0.11877178080E+01
 54.66  -0.52435966259E-06  -0.16157894623E+00  -0.11761937771E+01
 54.69  -0.49168921946E-06  -0.15124749252E+00  -0.11650147468E+01
 54.72  -0.45906631267E-06  -0.14087861534E+00  -0.11541919701E+01
 54.75  -0.42651958981E-06  -0.13047395276E+00  -0.11437352872E+01
 54.78  -0.39407720015E-06  -0.12003509609E+00  -0.11336531960E+01
 54.81  -0.36176677686E-06  -0.10956359739E+00  -0.11239529225E+01
 54.84  -0.32961541983E-06  -0.99060977001E-01  -0.11146404918E+01
 54.87  -0.29764967927E-06  -0.88528731248E-01  -0.11057207976E+01
 54.90  -0.26589554010E-06  -0.77968340124E-01  -0.10971976713E+01
 54.93  -0.23437840704E-06  -0.67381275057E-01  -0.10890739497E+01
 54.96  -0.20312309041E-06  -0.56769006685E-01  -0.10813515404E+01
 54.99  -0.17215379274E-06  -0.46133012632E-01  -0.10740314854E+01
 55.02  -0.14149409613E-06  -0.35474785267E-01  -0.10671140225E+01
 55.05  -0.11116695028E-06  -0.24795839419E-01  -0.10605986434E+01
 55.08  -0.81194661362E-07  -0.14097720044E-01  -0.10544841503E+01
 55.11  -0.51598881583E-07  -0.33820098084E-02  -0.10487687085E+01
 55.14  -0.22400599507E-07   0.73496634173E-02  -0.10434498963E+01
 55.17   0.63798688776E-08   0.18095619176E-01  -0.10385247523E+01
 55.20   0.34722888354E-07   0.28854117178E-01  -0.10339898193E+01
 55.23   0.62609511939E-07   0.39623350195E-01  -0.10298411848E+01
 55.26   0.90021487610E-07   0.50401437133E-01  -0.10260745189E+01
 55.29   0.11694126431E-06   0.61186416280E-01  -0.10226851086E+01
 55.32   0.14335199721E-06   0.71976238766E-01  -0.10196678892E+01
 55.35   0.16923755233E-06   0.82768762244E-01  -0.10170174731E+01
 55.38   0.19458251032E-06   0.93561744810E-01  -0.10147281743E+01
 55.41   0.21937216969E-06   0.10435283919E+00  -0.10127940316E+01
 55.44   0.24359254921E-06   0.11513958719E+00  -0.10112088273E+01
 55.47   0.26723038974E-06   0.12591941448E+00  -0.10099661043E+01
 55.50   0.29027315532E-06   0.13668962567E+00  -0.10090591799E+01
 55.53   0.31270903357E-06   0.14744739972E+00  -0.10084811567E+01
 55.56   0.33452693552E-06   0.15818978570E+00  -0.10082249316E+01
 55.59   0.35571649469E-06   0.16891369899E+00  -0.10082832015E+01
 55.62   0.37626806564E-06   0.17961591781E+00  -0.10086484671E+01
 55.65   0.39617272176E-06   0.19029308018E+00  -0.10093130344E+01
 55.68   0.41542225259E-06   0.20094168134E+00  -0.10102690134E+01
 55.71   0.43400916043E-06   0.21155807162E+00  -0.10115083157E+01
 55.74   0.45192665640E-06   0.22213845475E+00  -0.10130226487E+01
 55.77   0.46916865595E-06   0.23267888674E+00  -0.10148035094E+01
 55.80   0.48572977371E-06   0.24317527518E+00  -0.10168421749E+01
 55.83   0.50160531791E-06   0.25362337916E+00  -0.10191296926E+01
 55.86   0.51679128416E-06   0.26401880969E+00  -0.10216568676E+01
 55.89   0.53128434877E-06   0.27435703068E+00  -0.10244142493E+01
 55.92   0.54508186149E-06   0.28463336050E+00  -0.10273921170E+01
 55.95   0.55818183784E-06   0.29484297423E+00  -0.10305804631E+01
 55.98   0.57058295089E-06   0.30498090633E+00  -0.10339689765E+01
 56.01   0.58228452259E-06   0.31504205413E+00  -0.10375470246E+01
 56.04   0.59328651465E-06   0.32502118182E+00  -0.10413036343E+01
 56.07   0.60358951896E-06   0.33491292511E+00  -0.10452274728E+01
 56.10   0.61319474764E-06   0.34471179657E+00  -0.10493068275E+01
 56.13   0.62210402262E-06   0.35441219158E+00  -0.10535295868E+01
 56.16   0.63031976485E-06   0.36400839495E+00  -0.10578832191E+01
 56.19   0.63784498316E-06   0.37349458817E+00  -0.10623547537E+01
 56.22   0.64468326271E-06   0.38286485731E+00  -0.10669307610E+01
 56.25   0.65083875313E-06   0.39211320160E+00  -0.10715973337E+01
 56.28   0.65631615632E-06   0.40123354256E+00  -0.10763400687E+01
 56.31   0.66112071392E-06   0.41021973382E+00  -0.10811440505E+01
 56.34   0.66525819451E-06   0.41906557152E+00  -0.10859938355E+01
 56.37   0.66873488052E-06   0.42776480523E+00  -0.10908734381E+01
 56.40   0.67155755484E-06   0.43631114953E+00  -0.10957663185E+01
 56.43   0.67373348725E-06   0.44469829601E+00  -0.11006553735E+01
 56.46   0.67527042054E-06   0.45291992588E+00  -0.11055229286E+01
 56.49   0.67617655645E-06   0.46096972292E+00  -0.11103507337E+01
 56.52   0.67646054142E-06   0.46884138695E+00  -0.11151199616E+01
 56.55   0.67613145213E-06   0.47652864766E+00  -0.11198112099E+01
 56.58   0.67519878087E-06   0.48402527870E+00  -0.11244045067E+01
 56.61   0.67367242077E-06   0.49132511222E+00  -0.11288793199E+01
 56.64   0.67156265090E-06   0.49842205343E+00  -0.11332145710E+01
 56.67   0.66888012119E-06   0.50531009553E+00  -0.11373886534E+01
 56.70   0.66563583732E-06   0.51198333465E+00  -0.11413794553E+01
 56.73   0.66184114545E-06   0.51843598486E+00  -0.11451643876E+01
 56.76   0.65750771693E-06   0.52466239320E+00  -0.11487204169E+01
 56.79   0.65264753289E-06   0.53065705462E+00  -0.11520241039E+01
 56.82   0.64727286883E-06   0.53641462677E+00  -0.11550516472E+01
 56.85   0.64139627916E-06   0.54192994460E+00  -0.11577789327E+01
 56.88   0.63503058167E-06   0.54719803465E+00  -0.11601815881E+01
 56.91   0.62818884213E-06   0.55221412904E+00  -0.11622350438E+01
 56.94   0.62088435872E-06   0.55697367896E+00  -0.11639145985E+01
 56.97   0.61313064663E-06   0.56147236772E+00  -0.11651954906E+01
 57.00   0.60494142265E-06   0.56570612327E+00  -0.11660529745E+01
 57.03   0.59633058975E-06   0.56967113002E+00  -0.11664624024E+01
 57.06   0.58731222181E-06   0.57336384001E+00  -0.11663993099E+01
 57.09   0.57790054839E-06   0.57678098333E+00  -0.11658395062E+01
 57.12   0.56810993957E-06   0.57991957771E+00  -0.11647591688E+01
 57.15   0.55795489094E-06   0.58277693726E+00  -0.11631349402E+01
 57.18   0.54745000865E-06   0.58535068030E+00  -0.11609440282E+01
 57.21   0.53660999457E-06   0.58763873616E+00  -0.11581643083E+01
 57.24   0.52544963172E-06   0.58963935111E+00  -0.11547744269E+01
 57.27   0.51398376963E-06   0.59135109309E+00  -0.11507539060E+01
 57.30   0.50222731009E-06   0.59277285550E+00  -0.11460832467E+01
 57.33   0.49019519286E-06   0.59390385983E+00  -0.11407440331E+01
 57.36   0.47790238172E-06   0.59474365718E+00  -0.11347190336E+01
 57.39   0.46536385059E-06   0.59529212871E+00  -0.11279922993E+01
 57.42   0.45259456997E-06   0.59554948491E+00  -0.11205492603E+01
 57.45   0.43960949345E-06   0.59551626377E+00  -0.11123768161E+01
 57.48   0.42642354453E-06   0.59519332783E+00  -0.11034634223E+01
 57.51   0.41305160366E-06   0.59458186018E+00  -0.10937991702E+01
 57.54   0.39950849545E-06   0.59368335926E+00  -0.10833758610E+01
 57.57   0.38580897622E-06   0.59249963280E+00  -0.10721870713E+01
 57.60   0.37196772170E-06   0.59103279058E+00  -0.10602282122E+01
 57.63   0.35799931505E-06   0.58928523628E+00  -0.10474965783E+01
 57.66   0.34391823511E-06   0.58725965848E+00  -0.10339913893E+01
 57.69   0.32973884497E-06   0.58495902064E+00  -0.10197138207E+01
 57.72   0.31547538071E-06   0.58238655040E+00  -0.10046670265E+01
 57.75   0.30114194058E-06   0.57954572802E+00  -0.98885615046E+00
 57.78   0.28675247430E-06   0.57644027421E+00  -0.97228832905E+00
 57.81   0.27232077279E-06   0.57307413724E+00  -0.95497268330E+00
 57.84   0.25786045810E-06   0.56945147959E+00  -0.93692030169E+00
 57.87   0.24338497373E-06   0.56557666403E+00  -0.91814421319E+00
 57.90   0.22890757514E-06   0.56145423934E+00  -0.89865935129E+00
 57.93   0.21444132071E-06   0.55708892563E+00  -0.87848250919E+00
 57.96   0.19999906291E-06   0.55248559951E+00  -0.85763228667E+00
 57.99   0.18559343983E-06   0.54764927888E+00  -0.83612902934E+00
 58.02   0.17123686699E-06   0.54258510780E+00  -0.81399476069E+00
 58.05   0.15694152956E-06   0.53729834117E+00  -0.79125310771E+00
 58.08   0.14271937482E-06   0.53179432948E+00  -0.76792922076E+00
 58.11   0.12858210497E-06   0.52607850371E+00  -0.74404968849E+00
 58.14   0.11454117026E-06   0.52015636026E+00  -0.71964244844E+00
 58.17   0.10060776253E-06   0.51403344620E+00  -0.69473669410E+00
 58.20   0.86792808922E-07   0.50771534480E+00  -0.66936277932E+00
 58.23   0.73106966092E-07   0.50120766135E+00  -0.64355212057E+00
 58.26   0.59560614635E-07   0.49451600938E+00  -0.61733709794E+00
 58.29   0.46163853896E-07   0.48764599736E+00  -0.59075095549E+00
 58.32   0.32926497101E-07   0.48060321585E+00  -0.56382770155E+00
 58.35   0.19858066809E-07   0.47339322519E+00  -0.53660200959E+00
 58.38   0.69677907122E-08   0.46602154376E+00  -0.50910912023E+00
 58.41  -0.57354022550E-08   0.45849363681E+00  -0.48138474478E+00
 58.44  -0.18242885466E-07   0.45081490596E+00  -0.45346497087E+00
 58.47  -0.30546337831E-07   0.44299067932E+00  -0.42538617035E+00
 58.50  -0.42637746707E-07   0.43502620228E+00  -0.39718490997E+00
 58.53  -0.54509410478E-07   0.42692662902E+00  -0.36889786492E+00
 58.56  -0.66153940823E-07   0.41869701467E+00  -0.34056173561E+00
 58.59  -0.77564264666E-07   0.41034230822E+00  -0.31221316758E+00
 58.62  -0.88733625814E-07   0.40186734614E+00  -0.28388867494E+00
 58.65  -0.99655586280E-07   0.39327684668E+00  -0.25562456712E+00
 58.68  -0.11032402731E-06   0.38457540494E+00  -0.22745687914E+00
 58.71  -0.12073315010E-06   0.37576748859E+00  -0.19942130520E+00
 58.74  -0.13087747622E-06   0.36685743433E+00  -0.17155313574E+00
 58.77  -0.14075184771E-06   0.35784944505E+00  -0.14388719771E+00
 58.80  -0.15035142697E-06   0.34874758762E+00  -0.11645779800E+00
 58.83  -0.15967169626E-06   0.33955579141E+00  -0.89298669984E-01
 58.86  -0.16870845698E-06   0.33027784738E+00  -0.62442922971E-01
 58.89  -0.17745782868E-06   0.32091740789E+00  -0.35922994465E-01
 58.92  -0.18591624776E-06   0.31147798703E+00  -0.97706051043E-02
 58.95  -0.19408046592E-06   0.30196296162E+00   0.15983283866E-01
 58.98  -0.20194754840E-06   0.29237557268E+00   0.41308510688E-01
 59.01  -0.20951487184E-06   0.28271892756E+00   0.66175750881E-01
 59.04  -0.21678012205E-06   0.27299600250E+00   0.90556552823E-01
 59.07  -0.22374129140E-06   0.26320964568E+00   0.11442337121E+00
 59.10  -0.23039667604E-06   0.25336258081E+00   0.13774959845E+00
 59.13  -0.23674487291E-06   0.24345741111E+00   0.16050959408E+00
 59.16  -0.24278477643E-06   0.23349662370E+00   0.18267871221E+00
 59.19  -0.24851557511E-06   0.22348259441E+00   0.20423332698E+00
 59.22  -0.25393674779E-06   0.21341759295E+00   0.22515085614E+00
 59.25  -0.25904805980E-06   0.20330378839E+00   0.24540978259E+00
 59.28  -0.26384955888E-06   0.19314325502E+00   0.26498967399E+00
 59.31  -0.26834157087E-06   0.18293797841E+00   0.28387120023E+00
 59.34  -0.27252469527E-06   0.17268986181E+00   0.30203614893E+00
 59.37  -0.27639980057E-06   0.16240073275E+00   0.31946743862E+00
 59.40  -0.27996801948E-06   0.15207234989E+00   0.33614912976E+00
 59.43  -0.28323074388E-06   0.14170641002E+00   0.35206643342E+00
 59.46  -0.28618961975E-06   0.13130455525E+00   0.36720571754E+00
 59.49  -0.28884654183E-06   0.12086838036E+00   0.38155451068E+00
 59.52  -0.29120364818E-06   0.11039944028E+00   0.39510150322E+00
 59.55  -0.29326331466E-06   0.99899257608E-01   0.40783654592E+00
 59.58  -0.29502814915E-06   0.89369330320E-01   0.41975064576E+00
 59.61  -0.29650098580E-06   0.78811139440E-01   0.43083595908E+00
 59.64  -0.29768487900E-06   0.68226156810E-01   0.44108578187E+00
 59.67  -0.29858309742E-06   0.57615852860E-01   0.45049453730E+00
 59.70  -0.29919911777E-06   0.46981704391E-01   0.45905776045E+00
 59.73  -0.29953661862E-06   0.36325202328E-01   0.46677208023E+00
 59.76  -0.29959947399E-06   0.25647859446E-01   0.47363519864E+00
 59.79  -0.29939174700E-06   0.14951218036E-01   0.47964586721E+00
 59.82  -0.29891768335E-06   0.42368575004E-02   0.48480386103E+00
 59.85  -0.29818170474E-06  -0.64935981475E-02   0.48910995016E+00
 59.88  -0.29718840227E-06  -0.17238472893E-01   0.49256586877E+00
 59.91  -0.29594252978E-06  -0.27996031459E-01   0.49517428204E+00
 59.94  -0.29444899710E-06  -0.38764472193E-01   0.49693875107E+00
 59.97  -0.29271286331E-06  -0.49541920119E-01   0.49786369593E+00
 60.00  -0.29073932995E-06  -0.60326420178E-01   0.49795435709E+00
 60.03  -0.28853373420E-06  -0.71115930662E-01   0.49721675547E+00
 60.06  -0.28610154202E-06  -0.81908316884E-01   0.49565765127E+00
 60.09  -0.28344834133E-06  -0.92701345074E-01   0.49328450199E+00
 60.12  -0.28057983515E-06  -0.10349267654E+00   0.49010541964E+00
 60.15  -0.27750183471E-06  -0.11427986213E+00   0.48612912768E+00
 60.18  -0.27422025262E-06  -0.12506033691E+00   0.48136491778E+00
 60.21  -0.27074109604E-06  -0.13583141531E+00   0.47582260670E+00
 60.24  -0.26707045982E-06  -0.14659028644E+00   0.46951249355E+00
 60.27  -0.26321451973E-06  -0.15733400986E+00   0.46244531779E+00
 60.30  -0.25917952568E-06  -0.16805951172E+00   0.45463221807E+00
 60.33  -0.25497179496E-06  -0.17876358126E+00   0.44608469223E+00
 60.36  -0.25059770558E-06  -0.18944286778E+00   0.43681455870E+00
 60.39  -0.24606368962E-06  -0.20009387795E+00   0.42683391955E+00
 60.42  -0.24137622657E-06  -0.21071297371E+00   0.41615512532E+00
 60.45  -0.23654183686E-06  -0.22129637051E+00   0.40479074185E+00
 60.48  -0.23156707535E-06  -0.23184013615E+00   0.39275351936E+00
 60.51  -0.22645852489E-06  -0.24234019004E+00   0.38005636383E+00
 60.54  -0.22122279001E-06  -0.25279230309E+00   0.36671231089E+00
 60.57  -0.21586649065E-06  -0.26319209806E+00   0.35273450232E+00
 60.60  -0.21039625593E-06  -0.27353505053E+00   0.33813616529E+00
 60.63  -0.20481871811E-06  -0.28381649039E+00   0.32293059436E+00
 60.66  -0.19914050651E-06  -0.29403160401E+00   0.30713113641E+00
 60.69  -0.19336824162E-06  -0.30417543695E+00   0.29075117842E+00
 60.72  -0.18750852929E-06  -0.31424289731E+00   0.27380413829E+00
 60.75  -0.18156795497E-06  -0.32422875971E+00   0.25630345857E+00
 60.78  -0.17555307811E-06  -0.33412766992E+00   0.23826260315E+00
 60.81  -0.16947042663E-06  -0.34393415009E+00   0.21969505690E+00
 60.84  -0.16332649153E-06  -0.35364260471E+00   0.20061432828E+00
 60.87  -0.15712772162E-06  -0.36324732711E+00   0.18103395471E+00
 60.90  -0.15088051831E-06  -0.37274250673E+00   0.16096751082E+00
 60.93  -0.14459123059E-06  -0.38212223694E+00   0.14042861939E+00
 60.96  -0.13826615007E-06  -0.39138052354E+00   0.11943096487E+00
 60.99  -0.13191150622E-06  -0.40051129390E+00   0.97988309537E-01
 61.02  -0.12553346168E-06  -0.40950840668E+00   0.76114511953E-01
 61.05  -0.11913810768E-06  -0.41836566217E+00   0.53823547756E-01
 61.08  -0.11273145971E-06  -0.42707681326E+00   0.31129532583E-01
 61.11  -0.10631945313E-06  -0.43563557685E+00   0.80467469750E-02
 61.14  -0.99907939151E-07  -0.44403564593E+00  -0.15410336889E-01
 61.17  -0.93502680733E-07  -0.45227070203E+00  -0.39227026814E-01
 61.20  -0.87109348780E-07  -0.46033442825E+00  -0.63388380755E-01
 61.23  -0.80733518391E-07  -0.46822052262E+00  -0.87879175726E-01
 61.26  -0.74380665292E-07  -0.47592271191E+00  -0.11268387567E+00
 61.29  -0.68056162390E-07  -0.48343476577E+00  -0.13778659852E+00
 61.32  -0.61765276486E-07  -0.49075051111E+00  -0.16317108270E+00
 61.35  -0.55513165122E-07  -0.49786384680E+00  -0.18882065332E+00
 61.38  -0.49304873580E-07  -0.50476875845E+00  -0.21471818834E+00
 61.41  -0.43145332024E-07  -0.51145933345E+00  -0.24084608496E+00
 61.44  -0.37039352793E-07  -0.51792977591E+00  -0.26718622669E+00
 61.47  -0.30991627833E-07  -0.52417442172E+00  -0.29371995117E+00
 61.50  -0.25006726282E-07  -0.53018775348E+00  -0.32042801935E+00
 61.53  -0.19089092201E-07  -0.53596441535E+00  -0.34729058622E+00
 61.56  -0.13243042448E-07  -0.54149922761E+00  -0.37428717348E+00
 61.59  -0.74727647030E-08  -0.54678720101E+00  -0.40139664469E+00
