   t         Omega F_0 0       Omega F_0 0.5       Omega F_0 1.2
  6.51   0.29919819780E-01  -0.46847434233E+00  -0.14060852554E+01
  6.54   0.23800250787E-01  -0.46895134432E+00  -0.14030534894E+01
  6.57   0.17751442711E-01  -0.46911077764E+00  -0.13992478856E+01
  6.60   0.11777681444E-01  -0.46895297787E+00  -0.13946989370E+01
  6.63   0.58831206389E-02  -0.46847859588E+00  -0.13894386727E+01
  6.66   0.71780588538E-04  -0.46768859036E+00  -0.13835004630E+01
  6.69  -0.56524527772E-02  -0.46658421974E+00  -0.13769188226E+01
  6.72  -0.11285828782E-01  -0.46516703347E+00  -0.13697292108E+01
  6.75  -0.16824732789E-01  -0.46343886261E+00  -0.13619678336E+01
  6.78  -0.22265686881E-01  -0.46140181001E+00  -0.13536714479E+01
  6.81  -0.27605350443E-01  -0.45905823987E+00  -0.13448771695E+01
  6.84  -0.32840520651E-01  -0.45641076690E+00  -0.13356222873E+01
  6.87  -0.37968132867E-01  -0.45346224507E+00  -0.13259440844E+01
  6.90  -0.42985260944E-01  -0.45021575602E+00  -0.13158796675E+01
  6.93  -0.47889117449E-01  -0.44667459719E+00  -0.13054658059E+01
  6.96  -0.52677053793E-01  -0.44284226969E+00  -0.12947387807E+01
  6.99  -0.57346560287E-01  -0.43872246605E+00  -0.12837342448E+01
  7.02  -0.61895266112E-01  -0.43431905780E+00  -0.12724870948E+01
  7.05  -0.66320939209E-01  -0.42963608307E+00  -0.12610313543E+01
  7.08  -0.70621486089E-01  -0.42467773409E+00  -0.12494000700E+01
  7.11  -0.74794951569E-01  -0.41944834483E+00  -0.12376252187E+01
  7.14  -0.78839518422E-01  -0.41395237874E+00  -0.12257376277E+01
  7.17  -0.82753506957E-01  -0.40819441661E+00  -0.12137669060E+01
  7.20  -0.86535374514E-01  -0.40217914471E+00  -0.12017413875E+01
  7.23  -0.90183714880E-01  -0.39591134314E+00  -0.11896880850E+01
  7.26  -0.93697257638E-01  -0.38939587453E+00  -0.11776326551E+01
  7.29  -0.97074867418E-01  -0.38263767306E+00  -0.11655993725E+01
  7.32  -0.10031554309E+00  -0.37564173395E+00  -0.11536111146E+01
  7.35  -0.10341841683E+00  -0.36841310326E+00  -0.11416893544E+01
  7.38  -0.10638275321E+00  -0.36095686827E+00  -0.11298541610E+01
  7.41  -0.10920794806E+00  -0.35327814835E+00  -0.11181242086E+01
  7.44  -0.11189352735E+00  -0.34538208625E+00  -0.11065167912E+01
  7.47  -0.11443914599E+00  -0.33727384008E+00  -0.10950478442E+01
  7.50  -0.11684458646E+00  -0.32895857581E+00  -0.10837319702E+01
  7.53  -0.11910975747E+00  -0.32044146031E+00  -0.10725824711E+01
  7.56  -0.12123469246E+00  -0.31172765508E+00  -0.10616113825E+01
  7.59  -0.12321954802E+00  -0.30282231054E+00  -0.10508295131E+01
  7.62  -0.12506460226E+00  -0.29373056100E+00  -0.10402464858E+01
  7.65  -0.12677025305E+00  -0.28445752018E+00  -0.10298707818E+01
  7.68  -0.12833701625E+00  -0.27500827744E+00  -0.10197097864E+01
  7.71  -0.12976552375E+00  -0.26538789463E+00  -0.10097698360E+01
  7.74  -0.13105652155E+00  -0.25560140347E+00  -0.10000562662E+01
  7.77  -0.13221086762E+00  -0.24565380376E+00  -0.99057346049E+00
  7.80  -0.13322952981E+00  -0.23555006193E+00  -0.98132489878E+00
  7.83  -0.13411358360E+00  -0.22529511045E+00  -0.97231320628E+00
  7.86  -0.13486420981E+00  -0.21489384765E+00  -0.96354020163E+00
  7.89  -0.13548269219E+00  -0.20435113818E+00  -0.95500694450E+00
  7.92  -0.13597041499E+00  -0.19367181404E+00  -0.94671378228E+00
  7.95  -0.13632886044E+00  -0.18286067608E+00  -0.93866039569E+00
  7.98  -0.13655960612E+00  -0.17192249610E+00  -0.93084584319E+00
  8.01  -0.13666432232E+00  -0.16086201933E+00  -0.92326860400E+00
  8.04  -0.13664476933E+00  -0.14968396750E+00  -0.91592661967E+00
  8.07  -0.13650279461E+00  -0.13839304222E+00  -0.90881733403E+00
  8.10  -0.13624032999E+00  -0.12699392889E+00  -0.90193773162E+00
  8.13  -0.13585938872E+00  -0.11549130091E+00  -0.89528437430E+00
  8.16  -0.13536206258E+00  -0.10388982424E+00  -0.88885343629E+00
  8.19  -0.13475051885E+00  -0.92194162396E-01  -0.88264073738E+00
  8.22  -0.13402699726E+00  -0.80408981579E-01  -0.87664177444E+00
  8.25  -0.13319380695E+00  -0.68538956178E-01  -0.87085175124E+00
  8.28  -0.13225332331E+00  -0.56588774463E-01  -0.86526560647E+00
  8.31  -0.13120798488E+00  -0.44563144465E-01  -0.85987804018E+00
  8.34  -0.13006029018E+00  -0.32466800031E-01  -0.85468353850E+00
  8.37  -0.12881279446E+00  -0.20304506993E-01  -0.84967639681E+00
  8.40  -0.12746810657E+00  -0.80810694375E-02  -0.84485074126E+00
  8.43  -0.12602888569E+00   0.41986639803E-02  -0.84020054890E+00
  8.46  -0.12449783810E+00   0.16529793697E-01  -0.83571966626E+00
  8.49  -0.12287771397E+00   0.28907362924E-01  -0.83140182659E+00
  8.52  -0.12117130408E+00   0.41326351379E-01  -0.82724066572E+00
  8.55  -0.11938143664E+00   0.53781669119E-01  -0.82322973668E+00
  8.58  -0.11751097402E+00   0.66268150493E-01  -0.81936252314E+00
  8.61  -0.11556280955E+00   0.78780548268E-01  -0.81563245160E+00
  8.64  -0.11353986432E+00   0.91313527957E-01  -0.81203290266E+00
  8.67  -0.11144508403E+00   0.10386166239E+00  -0.80855722113E+00
  8.70  -0.10928143580E+00   0.11641942658E+00  -0.80519872528E+00
  8.73  -0.10705190504E+00   0.12898119286E+00  -0.80195071519E+00
  8.76  -0.10475949240E+00   0.14154122646E+00  -0.79880648027E+00
  8.79  -0.10240721064E+00   0.15409368138E+00  -0.79575930604E+00
  8.82  -0.99998081682E-01   0.16663259678E+00  -0.79280248020E+00
  8.85  -0.97535133562E-01   0.17915189380E+00  -0.78992929809E+00
  8.88  -0.95021397526E-01   0.19164537286E+00  -0.78713306758E+00
  8.91  -0.92459905125E-01   0.20410671157E+00  -0.78440711343E+00
  8.94  -0.89853685373E-01   0.21652946312E+00  -0.78174478119E+00
  8.97  -0.87205761949E-01   0.22890705542E+00  -0.77913944071E+00
  9.00  -0.84519150467E-01   0.24123279068E+00  -0.77658448932E+00
  9.03  -0.81796855785E-01   0.25349984589E+00  -0.77407335471E+00
  9.06  -0.79041869380E-01   0.26570127381E+00  -0.77159949750E+00
  9.09  -0.76257166789E-01   0.27783000484E+00  -0.76915641369E+00
  9.12  -0.73445705096E-01   0.28987884949E+00  -0.76673763696E+00
  9.15  -0.70610420497E-01   0.30184050180E+00  -0.76433674077E+00
  9.18  -0.67754225919E-01   0.31370754344E+00  -0.76194734055E+00
  9.21  -0.64880008711E-01   0.32547244862E+00  -0.75956309568E+00
  9.24  -0.61990628393E-01   0.33712758994E+00  -0.75717771166E+00
  9.27  -0.59088914483E-01   0.34866524497E+00  -0.75478494221E+00
  9.30  -0.56177664383E-01   0.36007760372E+00  -0.75237859154E+00
  9.33  -0.53259641341E-01   0.37135677697E+00  -0.74995251667E+00
  9.36  -0.50337572472E-01   0.38249480543E+00  -0.74750062995E+00
  9.39  -0.47414146859E-01   0.39348366978E+00  -0.74501690174E+00
  9.42  -0.44492013717E-01   0.40431530147E+00  -0.74249536328E+00
  9.45  -0.41573780632E-01   0.41498159443E+00  -0.73993010986E+00
  9.48  -0.38662011864E-01   0.42547441752E+00  -0.73731530410E+00
  9.51  -0.35759226721E-01   0.43578562773E+00  -0.73464517967E+00
  9.54  -0.32867898012E-01   0.44590708419E+00  -0.73191404516E+00
  9.57  -0.29990450554E-01   0.45583066283E+00  -0.72911628836E+00
  9.60  -0.27129259761E-01   0.46554827168E+00  -0.72624638071E+00
  9.63  -0.24286650298E-01   0.47505186685E+00  -0.72329888225E+00
  9.66  -0.21464894799E-01   0.48433346897E+00  -0.72026844678E+00
  9.69  -0.18666212661E-01   0.49338518023E+00  -0.71714982736E+00
  9.72  -0.15892768901E-01   0.50219920174E+00  -0.71393788219E+00
  9.75  -0.13146673081E-01   0.51076785134E+00  -0.71062758083E+00
  9.78  -0.10429978296E-01   0.51908358163E+00  -0.70721401066E+00
  9.81  -0.77446802389E-02   0.52713899821E+00  -0.70369238379E+00
  9.84  -0.50927163167E-02   0.53492687812E+00  -0.70005804417E+00
  9.87  -0.24759648414E-02   0.54244018814E+00  -0.69630647509E+00
  9.90   0.10375571950E-03   0.54967210320E+00  -0.69243330688E+00
  9.93   0.26446874278E-02   0.55661602457E+00  -0.68843432497E+00
  9.96   0.51451334972E-02   0.56326559770E+00  -0.68430547812E+00
  9.99   0.76034588537E-02   0.56961472991E+00  -0.68004288691E+00
 10.02   0.10018090635E-01   0.57565760745E+00  -0.67564285244E+00
 10.05   0.12387518631E-01   0.58138871208E+00  -0.67110186516E+00
 10.08   0.14710295659E-01   0.58680283707E+00  -0.66641661386E+00
 10.11   0.16985037888E-01   0.59189510231E+00  -0.66158399481E+00
