   t         Theta F_0 0       Theta F_0 0.5       Theta F_0 1.2
  4.17   0.59561888379E+01   0.29545479863E+00   0.13426671793E+01
  4.20   0.59638213550E+01   0.29834600805E+00   0.13442739825E+01
  4.23   0.59716219509E+01   0.30107153870E+00   0.13453210399E+01
  4.26   0.59795814301E+01   0.30362296565E+00   0.13457959769E+01
  4.29   0.59876905823E+01   0.30599208840E+00   0.13456865920E+01
  4.32   0.59959401891E+01   0.30817093762E+00   0.13449808641E+01
  4.35   0.60043210319E+01   0.31015178167E+00   0.13436669608E+01
  4.38   0.60128238996E+01   0.31192713282E+00   0.13417332471E+01
  4.41   0.60214395961E+01   0.31348975320E+00   0.13391682960E+01
  4.44   0.60301589476E+01   0.31483266042E+00   0.13359608985E+01
  4.47   0.60389728104E+01   0.31594913306E+00   0.13321000762E+01
  4.50   0.60478720783E+01   0.31683271572E+00   0.13275750934E+01
  4.53   0.60568476901E+01   0.31747722396E+00   0.13223754716E+01
  4.56   0.60658906367E+01   0.31787674891E+00   0.13164910039E+01
  4.59   0.60749919689E+01   0.31802566160E+00   0.13099117710E+01
  4.62   0.60841428045E+01   0.31791861712E+00   0.13026281586E+01
  4.65   0.60933343353E+01   0.31755055846E+00   0.12946308754E+01
  4.68   0.61025578345E+01   0.31691672015E+00   0.12859109725E+01
  4.71   0.61118046633E+01   0.31601263163E+00   0.12764598637E+01
  4.74   0.61210662784E+01   0.31483412040E+00   0.12662693474E+01
  4.77   0.61303342380E+01   0.31337731490E+00   0.12553316290E+01
  4.80   0.61396002092E+01   0.31163864722E+00   0.12436393453E+01
  4.83   0.61488559738E+01   0.30961485550E+00   0.12311855889E+01
  4.86   0.61580934351E+01   0.30730298614E+00   0.12179639343E+01
  4.89   0.61673046238E+01   0.30470039578E+00   0.12039684653E+01
  4.92   0.61764817040E+01   0.30180475298E+00   0.11891938024E+01
  4.95   0.61856169791E+01   0.29861403978E+00   0.11736351320E+01
  4.98   0.61947028973E+01   0.29512655290E+00   0.11572882357E+01
  5.01   0.62037320570E+01   0.29134090482E+00   0.11401495209E+01
  5.04   0.62126972121E+01   0.28725602447E+00   0.11222160514E+01
  5.07   0.62215912766E+01   0.28287115785E+00   0.11034855789E+01
  5.10   0.62304073297E+01   0.27818586828E+00   0.10839565743E+01
  5.13   0.62391386201E+01   0.27320003641E+00   0.10636282600E+01
  5.16   0.62477785704E+01   0.26791386002E+00   0.10425006411E+01
  5.19   0.62563207809E+01   0.26232785355E+00   0.10205745371E+01
  5.22   0.62647590333E+01   0.25644284732E+00   0.99785161300E+00
  5.25   0.62730872947E+01   0.25025998653E+00   0.97433440939E+00
  5.28   0.62812997202E+01   0.24378072995E+00   0.95002637223E+00
  5.31   0.62053492050E-02   0.23700684835E+00   0.92493188087E+00
  5.34   0.14169336540E-01   0.22994042262E+00   0.89905627493E+00
  5.37   0.22001112089E-01   0.22258384163E+00   0.87240587933E+00
  5.40   0.29695611601E-01   0.21493979975E+00   0.84498802731E+00
  5.43   0.37247971498E-01   0.20701129408E+00   0.81681108102E+00
  5.46   0.44653530574E-01   0.19880162140E+00   0.78788444960E+00
  5.49   0.51907831439E-01   0.19031437476E+00   0.75821860408E+00
  5.52   0.59006621720E-01   0.18155343979E+00   0.72782508918E+00
  5.55   0.65945854999E-01   0.17252299066E+00   0.69671653133E+00
  5.58   0.72721691519E-01   0.16322748570E+00   0.66490664293E+00
  5.61   0.79330498640E-01   0.15367166277E+00   0.63241022228E+00
  5.64   0.85768851071E-01   0.14386053420E+00   0.59924314918E+00
  5.67   0.92033530855E-01   0.13379938147E+00   0.56542237568E+00
  5.70   0.98121527146E-01   0.12349374950E+00   0.53096591201E+00
  5.73   0.10403003576E+00   0.11294944071E+00   0.49589280732E+00
  5.76   0.10975645849E+00   0.10217250863E+00   0.46022312516E+00
  5.79   0.11529840227E+00   0.91169251263E-01   0.42397791362E+00
  5.82   0.12065367810E+00   0.79946204134E-01   0.38717916998E+00
  5.85   0.12582029974E+00   0.68510132977E-01   0.34984979994E+00
  5.88   0.13079648233E+00   0.56868026161E-01   0.31201357142E+00
  5.91   0.13558064071E+00   0.45027086799E-01   0.27369506306E+00
  5.94   0.14017138762E+00   0.32994724579E-01   0.23491960758E+00
  5.97   0.14456753180E+00   0.20778547316E-01   0.19571323014E+00
  6.00   0.14876807577E+00   0.83863522415E-02   0.15610258209E+00
  6.03   0.15277221364E+00   0.62790114242E+01   0.11611487033E+00
  6.06   0.15657932868E+00   0.62662912979E+01   0.75777782760E-01
  6.09   0.16018899071E+00   0.62534195913E+01   0.35119410141E-01
  6.12   0.16360095352E+00   0.62404047674E+01   0.62773534721E+01
  6.15   0.16681515197E+00   0.62272554320E+01   0.62361380050E+01
  6.18   0.16983169913E+00   0.62139803231E+01   0.61946871189E+01
  6.21   0.17265088327E+00   0.62005883014E+01   0.61530296824E+01
  6.24   0.17527316467E+00   0.61870883398E+01   0.61111945417E+01
  6.27   0.17769917243E+00   0.61734895132E+01   0.60692104332E+01
  6.30   0.17992970117E+00   0.61598009883E+01   0.60271058957E+01
  6.33   0.18196570762E+00   0.61460320128E+01   0.59849091846E+01
  6.36   0.18380830711E+00   0.61321919057E+01   0.59426481872E+01
  6.39   0.18545877006E+00   0.61182900460E+01   0.59003503410E+01
  6.42   0.18691851837E+00   0.61043358630E+01   0.58580425543E+01
  6.45   0.18818912167E+00   0.60903388258E+01   0.58157511311E+01
  6.48   0.18927229365E+00   0.60763084331E+01   0.57735016986E+01
  6.51   0.19016988824E+00   0.60622542028E+01   0.57313191409E+01
  6.54   0.19088389577E+00   0.60481856625E+01   0.56892275362E+01
  6.57   0.19141643905E+00   0.60341123391E+01   0.56472500997E+01
  6.60   0.19176976949E+00   0.60200437498E+01   0.56054091316E+01
  6.63   0.19194626311E+00   0.60059893919E+01   0.55637259714E+01
  6.66   0.19194841653E+00   0.59919587342E+01   0.55222209575E+01
  6.69   0.19177884294E+00   0.59779612076E+01   0.54809133928E+01
  6.72   0.19144026808E+00   0.59640061966E+01   0.54398215165E+01
  6.75   0.19093552610E+00   0.59501030307E+01   0.53989624815E+01
  6.78   0.19026755549E+00   0.59362609764E+01   0.53583523380E+01
  6.81   0.18943939498E+00   0.59224892292E+01   0.53180060230E+01
  6.84   0.18845417936E+00   0.59087969062E+01   0.52779373543E+01
  6.87   0.18731513537E+00   0.58951930389E+01   0.52381590318E+01
  6.90   0.18602557754E+00   0.58816865662E+01   0.51986826418E+01
  6.93   0.18458890402E+00   0.58682863283E+01   0.51595186676E+01
  6.96   0.18300859241E+00   0.58550010602E+01   0.51206765042E+01
  6.99   0.18128819560E+00   0.58418393862E+01   0.50821644768E+01
